order,B_time,B_split,B_util,BPlus_time,BPlus_split,BPlus_util,BStar_time,BStar_split,BStar_util
1394,29,126,0.560438,31,126,0.561144,41,79,0.874829
1395,29,124,0.568925,28,124,0.569631,42,77,0.896057
1396,30,124,0.568518,28,124,0.569223,41,76,0.90675
1397,30,123,0.572656,29,123,0.57336,42,80,0.862433
1398,29,124,0.567704,29,123,0.57295,43,78,0.883096
1399,30,124,0.567299,30,124,0.568002,42,78,0.882465
1400,30,123,0.571429,29,124,0.567596,42,78,0.881834
1401,30,123,0.571021,28,123,0.571723,43,76,0.903514
1402,29,123,0.570613,29,123,0.571315,47,78,0.880576
1403,31,124,0.565681,34,124,0.566383,47,77,0.890948
1404,30,123,0.569801,31,124,0.565979,43,75,0.913142
1405,30,124,0.564876,33,124,0.565576,45,77,0.88968
1406,34,124,0.564474,31,124,0.565174,43,78,0.878071
1407,29,123,0.568586,30,123,0.569285,42,77,0.888415
1408,30,124,0.563672,30,124,0.564371,44,77,0.887784
1409,30,124,0.563272,29,124,0.563971,44,77,0.887154
1410,33,123,0.567376,32,123,0.568074,44,77,0.886525
1411,31,123,0.566974,30,123,0.567671,42,76,0.89711
1412,29,123,0.566572,30,123,0.567269,45,76,0.896475
1413,33,124,0.561678,30,124,0.562374,43,78,0.873721
1414,30,123,0.565771,30,124,0.561977,41,76,0.895207
1415,30,123,0.565371,30,123,0.566066,42,78,0.872486
1416,30,123,0.564972,30,123,0.565667,44,77,0.882768
1417,30,123,0.564573,30,123,0.565267,43,76,0.893312
1418,29,120,0.578048,27,121,0.574042,41,75,0.904126
1419,30,122,0.568324,29,123,0.564471,42,74,0.915223
1420,31,122,0.567924,30,122,0.568617,42,78,0.869414
1421,30,122,0.567524,30,122,0.568216,48,75,0.902218
1422,32,122,0.567125,36,122,0.567817,45,77,0.879044
1423,31,122,0.566726,31,123,0.562884,46,77,0.878426
1424,30,122,0.566328,29,122,0.567019,43,78,0.866972
1425,30,121,0.570532,29,122,0.566621,42,75,0.899685
1426,29,121,0.570132,30,121,0.570822,41,76,0.887674
1427,29,121,0.569732,31,121,0.570422,42,75,0.898424
1428,30,121,0.569333,29,121,0.570022,42,76,0.886431
1429,31,121,0.568935,30,119,0.579027,42,75,0.897167
1430,29,120,0.573197,29,121,0.569225,42,76,0.885191
1431,32,119,0.577531,28,119,0.578218,44,75,0.895913
1432,28,119,0.577127,29,119,0.577814,44,75,0.895287
1433,29,118,0.581531,29,118,0.582217,43,74,0.906281
1434,30,118,0.581125,29,118,0.581811,43,74,0.905649
1435,30,120,0.5712,30,120,0.571886,43,77,0.87108
1436,32,118,0.580316,32,117,0.585877,52,75,0.892793
1437,32,118,0.579912,29,118,0.580596,46,74,0.903759
1438,30,117,0.584378,29,117,0.585062,47,74,0.90313
1439,32,118,0.579106,32,118,0.579789,43,75,0.890932
1440,30,118,0.578704,30,118,0.579387,44,74,0.901876
1441,32,119,0.573523,30,117,0.583844,43,75,0.889696
1442,30,118,0.577901,28,118,0.578583,41,75,0.889079
1443,30,118,0.577501,29,118,0.578182,42,74,0.900001
1444,30,118,0.577101,28,118,0.577782,43,75,0.887847
1445,33,117,0.581547,31,116,0.587156,43,75,0.887233
1446,31,118,0.576302,30,118,0.576982,43,76,0.875396
1447,30,118,0.575904,29,117,0.581423,42,74,0.897513
1448,29,118,0.575506,29,118,0.576186,43,74,0.896893
1449,31,118,0.575109,28,117,0.580621,42,73,0.908067
1450,30,118,0.574713,28,118,0.575391,46,76,0.872981
1451,29,118,0.574317,30,117,0.57982,42,74,0.895039
1452,30,117,0.578744,29,117,0.579421,44,76,0.871779
1453,29,118,0.573526,29,117,0.579022,42,75,0.882348
1454,29,117,0.577948,30,118,0.573808,44,74,0.893192
1455,29,116,0.582445,29,115,0.588099,41,76,0.869981
1456,30,116,0.582045,30,116,0.58272,42,73,0.903702
1457,31,116,0.581646,28,116,0.58232,44,74,0.891353
1458,32,116,0.581247,29,116,0.581921,43,73,0.902462
1459,31,116,0.580848,31,115,0.586486,43,76,0.867596
1460,30,116,0.58045,28,116,0.581124,42,73,0.901226
1461,29,116,0.580053,29,115,0.585684,41,76,0.866408
1462,29,116,0.579656,30,116,0.580329,41,74,0.888305
1463,29,116,0.57926,29,116,0.579932,44,73,0.899378
1464,30,115,0.583812,29,116,0.579536,42,74,0.887091
1465,30,116,0.578469,31,116,0.57914,42,73,0.89815
1466,29,114,0.588042,30,114,0.588712,47,73,0.897537
1467,29,115,0.582618,30,116,0.578351,44,74,0.885277
1468,31,115,0.582221,28,115,0.582891,42,74,0.884674
1469,31,115,0.581825,31,115,0.582494,44,74,0.884072
1470,30,115,0.581429,30,115,0.582098,41,74,0.88347
1471,29,115,0.581034,29,113,0.591807,42,73,0.894486
1472,31,115,0.580639,28,115,0.581307,41,72,0.905797
1473,29,113,0.590336,30,113,0.591003,41,74,0.881671
1474,30,114,0.58485,29,113,0.590602,41,73,0.892666
1475,31,113,0.589536,29,115,0.580125,44,73,0.892061
1476,31,114,0.584058,31,113,0.589802,45,72,0.903342
1477,33,113,0.588737,31,114,0.584328,50,73,0.890853
1478,33,114,0.583267,34,113,0.589004,45,72,0.90212
1479,36,113,0.587941,31,113,0.588606,44,74,0.878094
1480,32,113,0.587544,32,113,0.588208,45,74,0.877501
1481,32,113,0.587147,32,113,0.587811,44,73,0.888447
1482,31,113,0.586751,31,113,0.587414,45,71,0.911843
1483,30,112,0.591499,32,113,0.587018,43,73,0.887248
1484,31,113,0.58596,31,112,0.591762,41,72,0.898473
1485,30,112,0.590702,29,112,0.591364,43,73,0.886054
1486,30,113,0.585172,29,113,0.585833,42,73,0.885457
1487,30,113,0.584778,29,113,0.585439,43,71,0.908777
1488,30,112,0.589511,32,113,0.585046,43,73,0.884267
1489,30,111,0.594329,29,111,0.594989,44,73,0.883673
1490,31,111,0.59393,29,111,0.594589,42,73,0.88308
1491,29,110,0.598831,28,110,0.59949,41,71,0.906339
1492,29,111,0.593134,30,110,0.599088,42,72,0.893655
1493,31,110,0.598029,29,110,0.598687,44,73,0.881306
1494,30,110,0.597629,30,110,0.598286,44,73,0.880716
1495,31,109,0.602609,30,110,0.597886,43,72,0.891862
1496,30,109,0.602206,29,109,0.602863,42,72,0.891266
1497,30,110,0.596431,28,110,0.597087,45,73,0.878951
1498,32,108,0.60687,29,108,0.607525,46,73,0.878364
1499,32,109,0.601001,29,110,0.59629,43,72,0.889482
1500,31,108,0.606061,30,108,0.606715,43,73,0.877193
1501,30,109,0.6002,29,109,0.600855,43,73,0.876609
1502,30,109,0.599801,28,109,0.600455,42,71,0.899701
1503,29,108,0.604851,28,109,0.600055,43,72,0.887115
1504,31,108,0.604449,29,108,0.605102,42,71,0.898505
1505,30,108,0.604047,29,109,0.599258,44,72,0.885936
1506,30,111,0.58762,29,110,0.593519,44,72,0.885347
1507,30,110,0.592473,33,109,0.598462,44,71,0.896716
1508,31,111,0.586841,30,111,0.587492,42,72,0.884173
1509,30,110,0.591688,30,110,0.592339,43,71,0.895528
1510,31,109,0.596623,29,109,0.597273,42,72,0.883002
1511,30,108,0.601649,30,109,0.596878,44,74,0.859498
1512,30,107,0.606767,29,107,0.607416,42,71,0.893751
1513,30,107,0.606366,30,109,0.596089,43,71,0.89316
1514,31,108,0.600456,29,107,0.606614,44,73,0.869082
1515,29,108,0.60006,30,106,0.61182,41,71,0.891981
1516,30,108,0.599664,29,106,0.611416,46,71,0.891393
1517,29,105,0.616071,29,105,0.616718,42,71,0.890805
1518,30,106,0.609964,29,106,0.610611,46,70,0.902413
1519,31,106,0.609563,30,106,0.610209,45,70,0.901819
1520,30,103,0.626566,29,103,0.627212,43,71,0.889047
1521,31,103,0.626154,29,104,0.620892,43,71,0.888462
1522,29,102,0.63176,29,103,0.626388,42,72,0.87604
1523,30,106,0.607962,29,105,0.614288,43,71,0.887296
1524,30,106,0.607563,30,106,0.608207,43,72,0.874891
1525,30,107,0.601594,30,105,0.613482,43,69,0.910747
1526,31,104,0.618215,31,107,0.601843,42,71,0.885551
1527,30,103,0.623694,29,103,0.624337,43,72,0.873172
1528,29,101,0.635389,29,102,0.629921,41,69,0.908959
1529,37,101,0.634973,29,101,0.635614,42,70,0.895921
1530,30,102,0.628457,30,100,0.64142,43,70,0.895335
1531,30,100,0.640361,29,101,0.634784,44,68,0.919955
1532,30,99,0.646279,29,100,0.640583,44,71,0.882083
1533,29,103,0.621253,29,102,0.627866,41,71,0.881508
1534,30,99,0.645436,29,99,0.646075,42,70,0.893001
1535,29,99,0.645016,29,100,0.639331,42,70,0.892419
1536,31,98,0.651042,29,98,0.65168,43,71,0.879786
1537,30,97,0.65719,29,97,0.657827,44,68,0.916364
1538,30,98,0.650195,29,97,0.6574,43,70,0.890678
1539,31,97,0.656336,30,97,0.656973,43,70,0.890099
1540,30,99,0.642921,30,98,0.649987,43,70,0.889521
1541,29,97,0.655484,30,97,0.65612,43,70,0.888944
1542,30,97,0.655059,30,97,0.655694,43,70,0.888368
1543,30,97,0.654634,30,97,0.655269,44,69,0.900122
1544,30,96,0.660886,30,97,0.654845,45,71,0.875228
1545,33,97,0.653787,29,97,0.654421,43,71,0.874661
1546,30,97,0.653364,30,97,0.653998,42,69,0.898376
1547,30,96,0.659605,30,97,0.653575,41,69,0.897795
1548,31,97,0.65252,29,97,0.653153,43,68,0.909852
1549,30,96,0.658753,28,96,0.659385,43,69,0.896636
1550,30,95,0.665115,30,96,0.65896,43,70,0.883783
1551,30,95,0.664686,30,95,0.665317,43,69,0.89548
1552,29,95,0.664258,28,96,0.658111,42,70,0.882644
1553,29,97,0.650419,29,97,0.65105,41,68,0.906923
1554,29,95,0.663403,28,97,0.650631,45,69,0.893751
1555,30,94,0.669882,30,93,0.677563,44,69,0.893176
1556,31,93,0.676498,30,94,0.670081,44,69,0.892602
1557,30,94,0.669022,30,94,0.669651,42,69,0.892029
1558,31,94,0.668592,31,93,0.676258,44,69,0.891456
1559,29,94,0.668163,30,94,0.668791,44,69,0.890884
1560,30,92,0.681942,29,94,0.668363,41,68,0.902853
1561,30,95,0.660428,29,95,0.661055,43,69,0.889743
1562,30,93,0.6739,29,94,0.667507,43,69,0.889173
1563,29,93,0.673469,30,93,0.674095,42,69,0.888605
1564,31,92,0.680198,31,93,0.673664,45,70,0.875871
1565,31,93,0.672608,29,94,0.666227,44,70,0.875312
1566,30,92,0.679329,29,92,0.679954,42,69,0.886902
1567,31,91,0.686196,29,92,0.67952,43,70,0.874195
1568,28,92,0.678463,29,92,0.679087,41,70,0.873637
1569,30,92,0.67803,29,92,0.678654,43,69,0.885206
1570,32,92,0.677599,30,92,0.678222,44,68,0.897102
1571,31,92,0.677167,30,92,0.67779,45,67,0.909339
1572,30,92,0.676737,30,92,0.677359,45,69,0.883517
1573,30,91,0.683578,30,91,0.6842,45,68,0.895391
1574,31,92,0.675877,28,91,0.683766,43,71,0.858546
1575,31,91,0.68271,28,91,0.683332,44,68,0.894254
1576,30,91,0.682277,30,91,0.682898,45,68,0.893687
1577,30,91,0.681845,30,91,0.682465,44,68,0.89312
1578,30,91,0.681412,31,91,0.682033,45,68,0.892554
1579,32,91,0.680981,30,91,0.681601,43,70,0.867551
1580,31,91,0.68055,29,91,0.681169,43,69,0.879044
1581,30,90,0.687512,29,91,0.680738,43,67,0.903587
1582,30,91,0.67969,30,91,0.680308,44,68,0.890298
1583,31,91,0.67926,30,91,0.679878,45,68,0.889735
1584,32,91,0.678831,30,91,0.679449,44,71,0.853126
1585,30,90,0.685777,29,90,0.686394,43,69,0.876271
1586,30,89,0.692876,31,91,0.678592,46,67,0.900739
1587,30,90,0.684913,28,89,0.693056,41,69,0.875166
1588,30,90,0.684481,30,91,0.677738,44,66,0.912642
1589,30,88,0.699252,29,89,0.692183,43,67,0.899038
1590,31,89,0.691133,30,88,0.699427,44,67,0.898473
1591,33,89,0.690698,28,89,0.691313,44,67,0.897908
1592,30,89,0.690265,31,89,0.690879,47,70,0.860467
1593,30,89,0.689831,30,88,0.69811,42,67,0.896781
1594,31,90,0.681905,29,89,0.690012,43,67,0.896218
1595,30,88,0.696621,33,88,0.697234,43,66,0.908637
1596,31,89,0.688535,29,89,0.689147,44,67,0.895095
1597,29,88,0.695749,28,88,0.696361,42,67,0.894534
1598,30,88,0.695314,29,88,0.695925,44,68,0.881383
1599,31,88,0.694879,29,88,0.69549,43,68,0.880832
1600,33,88,0.694444,36,88,0.695056,44,70,0.856164
1601,31,88,0.694011,31,88,0.694621,45,68,0.879732
1602,30,88,0.693577,30,88,0.694188,43,67,0.891742
1603,30,87,0.700933,29,88,0.693755,43,66,0.904102
